"Time","Mur_Temp_sud_1.mean","Mur_Temp_sud_2.mean","Mur_Temp_sud_3.mean"
"2023-04-08-21",NA,NA,NA
"2023-04-08-22",NA,NA,NA
"2023-04-08-23",NA,NA,NA
"2023-04-09-00",NA,NA,NA
"2023-04-09-01",NA,NA,NA
"2023-04-09-02",NA,NA,NA
"2023-04-09-03",NA,NA,NA
"2023-04-09-04",NA,NA,NA
"2023-04-09-05",NA,NA,NA
"2023-04-09-06",NA,NA,NA
"2023-04-09-07",NA,NA,NA
"2023-04-09-08",NA,NA,NA
"2023-04-09-09",NA,NA,NA
"2023-04-09-10",NA,NA,NA
"2023-04-09-11",NA,NA,NA
"2023-04-09-12",NA,NA,NA
"2023-04-09-13",NA,NA,NA
"2023-04-09-14",NA,NA,NA
"2023-04-09-15",NA,NA,NA
"2023-04-09-16",NA,NA,NA
"2023-04-09-17",NA,NA,NA
"2023-04-09-18",NA,NA,NA
"2023-04-09-19",NA,NA,NA
"2023-04-09-20",NA,NA,NA
"2023-04-09-21",NA,NA,NA
"2023-04-09-22",NA,NA,NA
"2023-04-09-23",NA,NA,NA
"2023-04-10-00",NA,NA,NA
"2023-04-10-01",NA,NA,NA
"2023-04-10-02",NA,NA,NA
"2023-04-10-03",NA,NA,NA
"2023-04-10-04",NA,NA,NA
"2023-04-10-05",NA,NA,NA
"2023-04-10-06",NA,NA,NA
"2023-04-10-07",NA,NA,NA
"2023-04-10-08",NA,NA,NA
"2023-04-10-09",NA,NA,NA
"2023-04-10-10",NA,NA,NA
"2023-04-10-11",NA,NA,NA
"2023-04-10-12",NA,NA,NA
"2023-04-10-13",NA,NA,NA
"2023-04-10-14",NA,NA,NA
"2023-04-10-15",NA,NA,NA
"2023-04-10-16",NA,NA,NA
"2023-04-10-17",NA,NA,NA
"2023-04-10-18",NA,NA,NA
"2023-04-10-19",NA,NA,NA
"2023-04-10-20",NA,NA,NA
"2023-04-10-21",NA,NA,NA
"2023-04-10-22",NA,NA,NA
"2023-04-10-23",NA,NA,NA
"2023-04-11-00",NA,NA,NA
"2023-04-11-01",NA,NA,NA
"2023-04-11-02",NA,NA,NA
"2023-04-11-03",NA,NA,NA
"2023-04-11-04",NA,NA,NA
"2023-04-11-05",NA,NA,NA
"2023-04-11-06",NA,NA,NA
"2023-04-11-07",NA,NA,NA
"2023-04-11-08",NA,NA,NA
"2023-04-11-09",NA,NA,NA
"2023-04-11-10",NA,NA,NA
"2023-04-11-11",NA,NA,NA
"2023-04-11-12",NA,NA,NA
"2023-04-11-13",NA,NA,NA
"2023-04-11-14",NA,NA,NA
"2023-04-11-15",NA,NA,NA
"2023-04-11-16",NA,NA,NA
"2023-04-11-17",NA,NA,NA
"2023-04-11-18",NA,NA,NA
"2023-04-11-19",NA,NA,NA
"2023-04-11-20",NA,NA,NA
"2023-04-11-21",NA,NA,NA
"2023-04-11-22",NA,NA,NA
"2023-04-11-23",NA,NA,NA
"2023-04-12-00",NA,NA,NA
"2023-04-12-01",NA,NA,NA
"2023-04-12-02",NA,NA,NA
"2023-04-12-03",NA,NA,NA
"2023-04-12-04",NA,NA,NA
"2023-04-12-05",NA,NA,NA
"2023-04-12-06",NA,NA,NA
"2023-04-12-07",NA,NA,NA
"2023-04-12-08",NA,NA,NA
"2023-04-12-09",NA,NA,NA
"2023-04-12-10",NA,NA,NA
"2023-04-12-11",NA,NA,NA
"2023-04-12-12",NA,NA,NA
"2023-04-12-13",NA,NA,NA
"2023-04-12-14",NA,NA,NA
"2023-04-12-15",NA,NA,NA
"2023-04-12-16",NA,NA,NA
"2023-04-12-17",NA,NA,NA
"2023-04-12-18",NA,NA,NA
"2023-04-12-19",NA,NA,NA
"2023-04-12-20",NA,NA,NA
"2023-04-12-21",NA,NA,NA
"2023-04-12-22",NA,NA,NA
"2023-04-12-23",NA,NA,NA
"2023-04-13-00",NA,NA,NA
"2023-04-13-01",NA,NA,NA
"2023-04-13-02",NA,NA,NA
"2023-04-13-03",NA,NA,NA
"2023-04-13-04",NA,NA,NA
"2023-04-13-05",NA,NA,NA
"2023-04-13-06",NA,NA,NA
"2023-04-13-07",NA,NA,NA
"2023-04-13-08",NA,NA,NA
"2023-04-13-09",NA,NA,NA
"2023-04-13-10",NA,NA,NA
"2023-04-13-11",NA,NA,NA
"2023-04-13-12",NA,NA,NA
"2023-04-13-13",NA,NA,NA
"2023-04-13-14",NA,NA,NA
"2023-04-13-15",NA,NA,NA
"2023-04-13-16",NA,NA,NA
"2023-04-13-17",NA,NA,NA
"2023-04-13-18",NA,NA,NA
"2023-04-13-19",NA,NA,NA
"2023-04-13-20",NA,NA,NA
"2023-04-13-21",NA,NA,NA
"2023-04-13-22",NA,NA,NA
"2023-04-13-23",NA,NA,NA
"2023-04-14-00",NA,NA,NA
"2023-04-14-01",NA,NA,NA
"2023-04-14-02",NA,NA,NA
"2023-04-14-03",NA,NA,NA
"2023-04-14-04",NA,NA,NA
"2023-04-14-05",NA,NA,NA
"2023-04-14-06",NA,NA,NA
"2023-04-14-07",NA,NA,NA
"2023-04-14-08",NA,NA,NA
"2023-04-14-09",NA,NA,NA
"2023-04-14-10",NA,NA,NA
"2023-04-14-11",NA,NA,NA
"2023-04-14-12",NA,NA,NA
"2023-04-14-13",NA,NA,NA
"2023-04-14-14",NA,NA,NA
"2023-04-14-15",NA,NA,NA
"2023-04-14-16",NA,NA,NA
"2023-04-14-17",NA,NA,NA
"2023-04-14-18",NA,NA,NA
"2023-04-14-19",NA,NA,NA
"2023-04-14-20",NA,NA,NA
"2023-04-14-21",NA,NA,NA
"2023-04-14-22",NA,NA,NA
"2023-04-14-23",NA,NA,NA
"2023-04-15-00",NA,NA,NA
"2023-04-15-01",NA,NA,NA
"2023-04-15-02",NA,NA,NA
"2023-04-15-03",NA,NA,NA
"2023-04-15-04",NA,NA,NA
"2023-04-15-05",NA,NA,NA
"2023-04-15-06",NA,NA,NA
"2023-04-15-07",NA,NA,NA
"2023-04-15-08",NA,NA,NA
"2023-04-15-09",NA,NA,NA
"2023-04-15-10",NA,NA,NA
"2023-04-15-11",NA,NA,NA
"2023-04-15-12",NA,NA,NA
"2023-04-15-13",NA,NA,NA
"2023-04-15-14",NA,NA,NA
"2023-04-15-15",NA,NA,NA
"2023-04-15-16",NA,NA,NA
"2023-04-15-17",NA,NA,NA
"2023-04-15-18",NA,NA,NA
"2023-04-15-19",NA,NA,NA
"2023-04-15-20",NA,NA,NA
"2023-04-15-21",NA,NA,NA
"2023-04-15-22",NA,NA,NA
"2023-04-15-23",NA,NA,NA
"2023-04-16-00",NA,NA,NA
"2023-04-16-01",NA,NA,NA
"2023-04-16-02",NA,NA,NA
"2023-04-16-03",NA,NA,NA
"2023-04-16-04",NA,NA,NA
"2023-04-16-05",NA,NA,NA
"2023-04-16-06",NA,NA,NA
"2023-04-16-07",NA,NA,NA
"2023-04-16-08",NA,NA,NA
"2023-04-16-09",NA,NA,NA
"2023-04-16-10",NA,NA,NA
"2023-04-16-11",NA,NA,NA
"2023-04-16-12",NA,NA,NA
"2023-04-16-13",NA,NA,NA
"2023-04-16-14",NA,NA,NA
"2023-04-16-15",NA,NA,NA
"2023-04-16-16",NA,NA,NA
"2023-04-16-17",NA,NA,NA
"2023-04-16-18",NA,NA,NA
"2023-04-16-19",NA,NA,NA
"2023-04-16-20",NA,NA,NA
"2023-04-16-21",NA,NA,NA
"2023-04-16-22",NA,NA,NA
"2023-04-16-23",NA,NA,NA
"2023-04-17-00",NA,NA,NA
"2023-04-17-01",NA,NA,NA
"2023-04-17-02",NA,NA,NA
"2023-04-17-03",NA,NA,NA
"2023-04-17-04",NA,NA,NA
"2023-04-17-05",NA,NA,NA
"2023-04-17-06",NA,NA,NA
"2023-04-17-07",NA,NA,NA
"2023-04-17-08",NA,NA,NA
"2023-04-17-09",NA,NA,NA
"2023-04-17-10",NA,NA,NA
"2023-04-17-11",NA,NA,NA
"2023-04-17-12",NA,NA,NA
"2023-04-17-13",NA,NA,NA
"2023-04-17-14",NA,NA,NA
"2023-04-17-15",NA,NA,NA
"2023-04-17-16",NA,NA,NA
"2023-04-17-17",NA,NA,NA
"2023-04-17-18",NA,NA,NA
"2023-04-17-19",NA,NA,NA
"2023-04-17-20",NA,NA,NA
"2023-04-17-21",NA,NA,NA
"2023-04-17-22",NA,NA,NA
"2023-04-17-23",NA,NA,NA
"2023-04-18-00",NA,NA,NA
"2023-04-18-01",NA,NA,NA
"2023-04-18-02",NA,NA,NA
"2023-04-18-03",NA,NA,NA
"2023-04-18-04",NA,NA,NA
"2023-04-18-05",NA,NA,NA
"2023-04-18-06",NA,NA,NA
"2023-04-18-07",NA,NA,NA
"2023-04-18-08",NA,NA,NA
"2023-04-18-09",NA,NA,NA
"2023-04-18-10",NA,NA,NA
"2023-04-18-11",NA,NA,NA
"2023-04-18-12",NA,NA,NA
"2023-04-18-13",NA,NA,NA
"2023-04-18-14",NA,NA,NA
"2023-04-18-15",NA,NA,NA
"2023-04-18-16",NA,NA,NA
"2023-04-18-17",NA,NA,NA
"2023-04-18-18",NA,NA,NA
"2023-04-18-19",NA,NA,NA
"2023-04-18-20",NA,NA,NA
"2023-04-18-21",NA,NA,NA
"2023-04-18-22",NA,NA,NA
"2023-04-18-23",NA,NA,NA
"2023-04-19-00",NA,NA,NA
"2023-04-19-01",NA,NA,NA
"2023-04-19-02",NA,NA,NA
"2023-04-19-03",NA,NA,NA
"2023-04-19-04",NA,NA,NA
"2023-04-19-05",NA,NA,NA
"2023-04-19-06",NA,NA,NA
"2023-04-19-07",NA,NA,NA
"2023-04-19-08",NA,NA,NA
"2023-04-19-09",NA,NA,NA
"2023-04-19-10",NA,NA,NA
"2023-04-19-11",NA,NA,NA
"2023-04-19-12",NA,NA,NA
"2023-04-19-13",NA,NA,NA
"2023-04-19-14",NA,NA,NA
"2023-04-19-15",NA,NA,NA
"2023-04-19-16",NA,NA,NA
"2023-04-19-17",NA,NA,NA
"2023-04-19-18",NA,NA,NA
"2023-04-19-19",NA,NA,NA
"2023-04-19-20",NA,NA,NA
"2023-04-19-21",NA,NA,NA
"2023-04-19-22",NA,NA,NA
"2023-04-19-23",NA,NA,NA
"2023-04-20-00",NA,NA,NA
"2023-04-20-01",NA,NA,NA
"2023-04-20-02",NA,NA,NA
"2023-04-20-03",NA,NA,NA
"2023-04-20-04",NA,NA,NA
"2023-04-20-05",NA,NA,NA
"2023-04-20-06",NA,NA,NA
"2023-04-20-07",NA,NA,NA
"2023-04-20-08",NA,NA,NA
"2023-04-20-09",NA,NA,NA
"2023-04-20-10",NA,NA,NA
"2023-04-20-11",NA,NA,NA
"2023-04-20-12",NA,NA,NA
"2023-04-20-13",NA,NA,NA
"2023-04-20-14",NA,NA,NA
"2023-04-20-15",NA,NA,NA
"2023-04-20-16",NA,NA,NA
"2023-04-20-17",NA,NA,NA
"2023-04-20-18",NA,NA,NA
"2023-04-20-19",NA,NA,NA
"2023-04-20-20",NA,NA,NA
"2023-04-20-21",NA,NA,NA
"2023-04-20-22",NA,NA,NA
"2023-04-20-23",NA,NA,NA
"2023-04-21-00",NA,NA,NA
"2023-04-21-01",NA,NA,NA
"2023-04-21-02",NA,NA,NA
"2023-04-21-03",NA,NA,NA
"2023-04-21-04",NA,NA,NA
"2023-04-21-05",NA,NA,NA
"2023-04-21-06",NA,NA,NA
"2023-04-21-07",NA,NA,NA
"2023-04-21-08",NA,NA,NA
"2023-04-21-09",NA,NA,NA
"2023-04-21-10",NA,NA,NA
"2023-04-21-11",NA,NA,NA
"2023-04-21-12",NA,NA,NA
"2023-04-21-13",NA,NA,NA
"2023-04-21-14",NA,NA,NA
"2023-04-21-15",NA,NA,NA
"2023-04-21-16",NA,NA,NA
"2023-04-21-17",NA,NA,NA
"2023-04-21-18",NA,NA,NA
"2023-04-21-19",NA,NA,NA
"2023-04-21-20",NA,NA,NA
"2023-04-21-21",NA,NA,NA
"2023-04-21-22",NA,NA,NA
"2023-04-21-23",NA,NA,NA
"2023-04-22-00",NA,NA,NA
"2023-04-22-01",NA,NA,NA
"2023-04-22-02",NA,NA,NA
"2023-04-22-03",NA,NA,NA
"2023-04-22-04",NA,NA,NA
"2023-04-22-05",NA,NA,NA
"2023-04-22-06",NA,NA,NA
"2023-04-22-07",NA,NA,NA
"2023-04-22-08",NA,NA,NA
"2023-04-22-09",NA,NA,NA
"2023-04-22-10",NA,NA,NA
"2023-04-22-11",NA,NA,NA
"2023-04-22-12",NA,NA,NA
"2023-04-22-13",NA,NA,NA
"2023-04-22-14",NA,NA,NA
"2023-04-22-15",NA,NA,NA
"2023-04-22-16",NA,NA,NA
"2023-04-22-17",NA,NA,NA
"2023-04-22-18",NA,NA,NA
"2023-04-22-19",NA,NA,NA
"2023-04-22-20",NA,NA,NA
"2023-04-22-21",NA,NA,NA
"2023-04-22-22",NA,NA,NA
"2023-04-22-23",NA,NA,NA
"2023-04-23-00",NA,NA,NA
"2023-04-23-01",NA,NA,NA
"2023-04-23-02",NA,NA,NA
"2023-04-23-03",NA,NA,NA
"2023-04-23-04",NA,NA,NA
"2023-04-23-05",NA,NA,NA
"2023-04-23-06",NA,NA,NA
"2023-04-23-07",NA,NA,NA
"2023-04-23-08",NA,NA,NA
"2023-04-23-09",NA,NA,NA
"2023-04-23-10",NA,NA,NA
"2023-04-23-11",NA,NA,NA
"2023-04-23-12",NA,NA,NA
"2023-04-23-13",NA,NA,NA
"2023-04-23-14",NA,NA,NA
"2023-04-23-15",NA,NA,NA
"2023-04-23-16",NA,NA,NA
"2023-04-23-17",NA,NA,NA
"2023-04-23-18",NA,NA,NA
"2023-04-23-19",NA,NA,NA
"2023-04-23-20",NA,NA,NA
"2023-04-23-21",NA,NA,NA
"2023-04-23-22",NA,NA,NA
"2023-04-23-23",NA,NA,NA
"2023-04-24-00",NA,NA,NA
"2023-04-24-01",NA,NA,NA
"2023-04-24-02",NA,NA,NA
"2023-04-24-03",NA,NA,NA
"2023-04-24-04",NA,NA,NA
"2023-04-24-05",NA,NA,NA
"2023-04-24-06",NA,NA,NA
"2023-04-24-07",NA,NA,NA
"2023-04-24-08",NA,NA,NA
"2023-04-24-09",NA,NA,NA
"2023-04-24-10",NA,NA,NA
"2023-04-24-11",NA,NA,NA
"2023-04-24-12",NA,NA,NA
"2023-04-24-13",NA,NA,NA
"2023-04-24-14",NA,NA,NA
"2023-04-24-15",NA,NA,NA
"2023-04-24-16",NA,NA,NA
"2023-04-24-17",NA,NA,NA
"2023-04-24-18",NA,NA,NA
"2023-04-24-19",NA,NA,NA
"2023-04-24-20",NA,NA,NA
"2023-04-24-21",NA,NA,NA
"2023-04-24-22",NA,NA,NA
"2023-04-24-23",NA,NA,NA
"2023-04-25-00",NA,NA,NA
"2023-04-25-01",NA,NA,NA
"2023-04-25-02",NA,NA,NA
"2023-04-25-03",NA,NA,NA
"2023-04-25-04",NA,NA,NA
"2023-04-25-05",NA,NA,NA
"2023-04-25-06",NA,NA,NA
"2023-04-25-07",NA,NA,NA
"2023-04-25-08",NA,NA,NA
"2023-04-25-09",NA,NA,NA
"2023-04-25-10",NA,NA,NA
"2023-04-25-11",NA,NA,NA
"2023-04-25-12",NA,NA,NA
"2023-04-25-13",NA,NA,NA
"2023-04-25-14",NA,NA,NA
"2023-04-25-15",NA,NA,NA
"2023-04-25-16",NA,NA,NA
"2023-04-25-17",NA,NA,NA
"2023-04-25-18",NA,NA,NA
"2023-04-25-19",NA,NA,NA
"2023-04-25-20",NA,NA,NA
"2023-04-25-21",NA,NA,NA
"2023-04-25-22",NA,NA,NA
"2023-04-25-23",NA,NA,NA
"2023-04-26-00",NA,NA,NA
"2023-04-26-01",NA,NA,NA
"2023-04-26-02",NA,NA,NA
"2023-04-26-03",NA,NA,NA
"2023-04-26-04",NA,NA,NA
"2023-04-26-05",NA,NA,NA
"2023-04-26-06",NA,NA,NA
"2023-04-26-07",NA,NA,NA
"2023-04-26-08",NA,NA,NA
"2023-04-26-09",NA,NA,NA
"2023-04-26-10",NA,NA,NA
"2023-04-26-11",NA,NA,NA
"2023-04-26-12",NA,NA,NA
"2023-04-26-13",NA,NA,NA
"2023-04-26-14",NA,NA,NA
"2023-04-26-15",NA,NA,NA
"2023-04-26-16",NA,NA,NA
"2023-04-26-17",NA,NA,NA
"2023-04-26-18",NA,NA,NA
"2023-04-26-19",NA,NA,NA
"2023-04-26-20",NA,NA,NA
"2023-04-26-21",NA,NA,NA
"2023-04-26-22",NA,NA,NA
"2023-04-26-23",NA,NA,NA
"2023-04-27-00",NA,NA,NA
"2023-04-27-01",NA,NA,NA
"2023-04-27-02",NA,NA,NA
"2023-04-27-03",NA,NA,NA
"2023-04-27-04",NA,NA,NA
"2023-04-27-05",NA,NA,NA
"2023-04-27-06",NA,NA,NA
"2023-04-27-07",NA,NA,NA
"2023-04-27-08",NA,NA,NA
"2023-04-27-09",NA,NA,NA
"2023-04-27-10",NA,NA,NA
"2023-04-27-11",NA,NA,NA
"2023-04-27-12",NA,NA,NA
"2023-04-27-13",NA,NA,NA
"2023-04-27-14",NA,NA,NA
"2023-04-27-15",NA,NA,NA
"2023-04-27-16",NA,NA,NA
"2023-04-27-17",NA,NA,NA
"2023-04-27-18",NA,NA,NA
"2023-04-27-19",NA,NA,NA
"2023-04-27-20",NA,NA,NA
"2023-04-27-21",NA,NA,NA
"2023-04-27-22",NA,NA,NA
"2023-04-27-23",NA,NA,NA
"2023-04-28-00",NA,NA,NA
"2023-04-28-01",NA,NA,NA
"2023-04-28-02",NA,NA,NA
"2023-04-28-03",NA,NA,NA
"2023-04-28-04",NA,NA,NA
"2023-04-28-05",NA,NA,NA
"2023-04-28-06",NA,NA,NA
"2023-04-28-07",NA,NA,NA
"2023-04-28-08",NA,NA,NA
"2023-04-28-09",NA,NA,NA
"2023-04-28-10",NA,NA,NA
"2023-04-28-11",NA,NA,NA
"2023-04-28-12",NA,NA,NA
"2023-04-28-13",NA,NA,NA
"2023-04-28-14",NA,NA,NA
"2023-04-28-15",NA,NA,NA
"2023-04-28-16",NA,NA,NA
"2023-04-28-17",NA,NA,NA
"2023-04-28-18",NA,NA,NA
"2023-04-28-19",NA,NA,NA
"2023-04-28-20",NA,NA,NA
"2023-04-28-21",NA,NA,NA
"2023-04-28-22",NA,NA,NA
"2023-04-28-23",NA,NA,NA
"2023-04-29-00",NA,NA,NA
"2023-04-29-01",NA,NA,NA
"2023-04-29-02",NA,NA,NA
"2023-04-29-03",NA,NA,NA
"2023-04-29-04",NA,NA,NA
"2023-04-29-05",NA,NA,NA
"2023-04-29-06",NA,NA,NA
"2023-04-29-07",NA,NA,NA
"2023-04-29-08",NA,NA,NA
"2023-04-29-09",NA,NA,NA
"2023-04-29-10",NA,NA,NA
"2023-04-29-11",NA,NA,NA
"2023-04-29-12",NA,NA,NA
"2023-04-29-13",NA,NA,NA
"2023-04-29-14",NA,NA,NA
"2023-04-29-15",NA,NA,NA
"2023-04-29-16",NA,NA,NA
"2023-04-29-17",NA,NA,NA
"2023-04-29-18",NA,NA,NA
"2023-04-29-19",NA,NA,NA
"2023-04-29-20",NA,NA,NA
"2023-04-29-21",NA,NA,NA
